2023-06-22_07-03-41,99
2023-06-22_07-36-14,103
2023-06-22_08-08-44,107
2023-06-22_08-41-12,114
2023-06-22_09-14-26,112
2023-06-22_09-47-39,125
2023-06-22_10-21-57,127
2023-06-22_10-55-01,139
2023-06-22_11-05-54,56
2023-06-22_11-28-24,136
2023-06-22_12-04-39,144
2023-06-22_16-26-20,192
2023-06-22_17-01-54,180
2023-06-22_17-36-20,167
2023-06-22_18-10-27,161
2023-06-22_18-45-35,154
2023-06-22_19-14-02,150
2023-06-22_19-18-11,150
2023-06-22_19-48-33,133
2023-06-22_20-18-54,130
2023-06-22_20-49-16,133
2023-06-22_21-19-40,111
2023-06-22_21-42-53,56
2023-06-22_21-50-12,123
2023-06-22_22-22-15,112
2023-06-22_22-48-50,111
2023-06-22_22-51-13,58
2023-06-22_22-53-28,109
2023-06-22_22-54-18,107
2023-06-22_22-55-58,106
2023-06-22_23-03-07,105
2023-06-23_06-30-30,91
2023-06-23_07-03-41,87
2023-06-23_07-26-09,93
2023-06-23_07-55-49,94
2023-06-23_09-16-15,109
2023-06-23_09-49-31,113
2023-06-23_10-23-24,114
2023-06-23_10-56-51,111
2023-06-23_11-29-54,102
2023-06-23_12-03-16,109
2023-06-23_12-36-42,131
2023-06-23_13-10-58,132
2023-06-23_13-45-24,155
2023-06-23_14-20-37,173
2023-06-23_14-57-05,10081
2023-06-23_16-04-24,10166
2023-06-23_17-28-01,186
2023-06-23_18-04-23,180
2023-06-23_18-44-49,177
2023-06-23_20-51-49,139
2023-06-23_21-26-36,126
2023-06-23_22-00-49,132
2023-06-23_22-35-21,126
2023-06-23_23-10-01,120
2023-06-23_23-44-06,109
2023-06-24_00-17-40,114
2023-06-24_00-51-25,106
2023-06-24_01-25-07,101
2023-06-24_01-58-36,94
2023-06-24_03-15-08,84
2023-06-24_04-11-10,86
2023-06-24_04-44-15,88
2023-06-24_06-23-56,83
2023-06-24_07-54-51,87
2023-06-24_11-23-09,128
2023-06-24_11-38-46,125
2023-06-24_12-12-23,126
2023-06-24_12-45-46,127
2023-06-24_13-11-45,1
2023-06-24_13-14-24,1
2023-06-24_13-19-20,135
2023-06-24_13-53-03,132
2023-06-24_14-27-13,144
2023-06-24_15-01-39,147
2023-06-24_15-36-17,155
2023-06-24_16-11-03,148
2023-06-24_16-45-51,142
2023-06-24_17-20-52,150
2023-06-24_17-55-52,151
2023-06-24_18-30-36,156
2023-06-24_19-05-32,150
2023-06-24_19-41-08,148
2023-06-24_20-15-24,144
2023-06-24_20-50-32,139
2023-06-24_21-25-39,124
2023-06-24_22-00-09,118
2023-06-24_22-34-49,111
2023-06-24_23-08-35,101
2023-06-24_23-41-47,100
2023-06-25_00-14-56,99
2023-06-25_00-49-51,99
2023-06-25_01-23-31,88
2023-06-25_01-56-37,82
2023-06-25_02-42-57,78
2023-06-25_03-15-44,81
2023-06-25_04-11-05,81
2023-06-25_04-43-55,78
2023-06-25_05-16-54,78
2023-06-25_10-54-12,122
2023-06-25_11-28-04,132
2023-06-25_12-01-49,128
2023-06-25_12-35-25,133
2023-06-25_13-08-59,145
2023-06-25_13-43-36,140
2023-06-25_14-18-33,160
2023-06-25_14-53-56,153
2023-06-25_16-20-35,163
2023-06-25_16-55-59,167
2023-06-25_17-32-25,169
2023-06-25_18-07-13,167
2023-06-25_18-41-28,157
2023-06-25_19-16-19,150
2023-06-25_19-51-21,140
2023-06-25_20-25-43,138
2023-06-25_20-59-57,134
2023-06-25_21-34-10,127
2023-06-25_23-26-43,111
2023-06-26_00-00-28,108
2023-06-26_00-33-39,100
2023-06-26_01-06-54,93
2023-06-26_01-39-41,90
2023-06-26_02-12-34,86
2023-06-26_04-12-41,85
2023-06-26_08-04-17,91
2023-06-26_08-37-32,102
2023-06-26_09-10-48,115
2023-06-26_09-44-21,123
2023-06-26_10-18-59,132
2023-06-26_10-54-03,139
2023-06-26_11-28-16,145
2023-06-26_12-03-05,140
2023-06-26_12-37-10,146
2023-06-26_13-11-31,148
2023-06-26_13-46-07,161
2023-07-10_09-54-24,1
2023-07-10_11-34-23,1
2023-07-10_20-44-38,1
2023-07-11_04-37-01,1
2023-07-14_09-32-45,0
2023-07-15_12-45-29,0
2023-07-15_12-46-57,10064
2023-07-15_13-40-32,10037
2023-07-15_14-08-35,10033
2023-07-15_17-18-00,10044
2023-07-15_17-57-37,10038
2023-07-15_21-44-02,10036
2023-07-15_21-50-30,1
2023-07-15_21-51-13,9974
2023-07-15_21-52-14,1
2023-07-15_21-53-31,1
2023-07-15_21-54-00,1
2023-07-15_21-56-00,1
2023-07-15_21-58-06,1
2023-07-15_22-01-55,10033
2023-07-16_07-37-13,1088
2023-07-16_07-38-30,1092
2023-07-16_08-02-33,63834
2023-07-16_08-57-06,72030
2023-07-16_09-48-26,10037
2023-07-16_22-01-30,10007
2023-07-19_01-54-41,1
2023-07-19_01-56-21,1
2023-07-19_01-57-14,1
2023-07-22_13-27-58,1
2023-07-22_13-31-35,1
2023-07-24_16-33-54,1
2023-07-24_16-34-32,1
2023-07-29_13-15-09,10024
2023-07-29_18-23-03,10045
2023-07-29_22-52-05,10006
2023-07-30_14-58-33,9989
2023-08-23_08-17-14,10031
2023-08-23_08-20-07,10018
2023-08-23_08-21-26,10082
2023-08-23_08-22-55,10089
2023-08-23_08-25-32,10071
2023-08-23_22-07-15,10007
2023-08-24_18-17-07,10020
2023-08-26_21-16-09,10036
2023-08-29_19-37-07,10016
2023-08-30_05-29-56,10037
2023-08-30_09-44-06,9999
2023-09-12_11-35-30,10057
2023-09-12_11-49-10,10024
2023-09-12_11-51-14,10031
2023-09-12_11-58-43,10070
2023-09-12_12-01-16,10024
2023-09-12_12-02-46,10072
2023-09-12_12-05-12,10006
2023-09-12_12-06-51,10075
